District,Population,Area,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Familes,Liquor Licenses,Faith Orgs,Parks
1,47807,5087,878,1242,17512,16030,7840,4305,26092,21715,4787,398,46,57
2,85671,7111,9501,20535,10111,26667,14386,4471,44206,41465,25291,231,81,54
3,82030,11868,6935,15451,16285,21378,16882,5098,39606,42424,15925,147,156,78
4,94295,28782,9037,21385,9778,24858,20389,8848,42805,51490,23283,62,69,102
5,67841,7719,5664,14139,8729,18674,14574,6061,31960,35881,14640,146,160,60
6,114117,22729,8242,17664,9117,34869,29069,15156,55659,58458,28251,228,61,74
7,102336,13342,8408,22195,9788,27861,24895,9189,46248,56088,25500,77,135,78
