,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,8900,CensusTract,1462,0.23,136,382,177,399,309,59,748,714,288,27731.0,4,1,1,2690,790,42,291,289,141,257,59,535,275,11
0,900,CensusTract,3694,1.35,491,914,419,901,710,259,1598,2096,1012,114633.0,2,5,5,3202,702,11,414,552,218,156,43,694,408,4
0,9000,CensusTract,2544,0.19,305,802,330,616,395,96,1111,1433,560,35304.0,4,11,1,5024,1304,54,566,538,238,416,81,1295,511,21
0,9100,CensusTract,2425,0.2,264,690,301,612,466,92,1151,1274,531,63560.0,4,6,0,4022,942,46,583,575,195,378,68,838,392,5
0,9200,CensusTract,1901,0.16,189,478,252,555,362,65,912,989,419,101724.0,2,3,0,2388,527,19,292,295,138,180,47,570,312,8
0,9300,CensusTract,2535,0.22,211,460,242,871,624,127,1219,1316,628,123742.0,3,2,1,1973,291,4,352,234,166,163,16,473,270,4
0,9400,CensusTract,2423,0.23,186,366,138,925,636,172,1138,1285,572,168497.0,5,4,0,895,98,0,150,140,122,38,13,182,152,0
0,9500,CensusTract,2121,0.2,146,364,156,716,577,162,1026,1095,526,178010.0,4,1,0,997,103,1,192,137,154,29,13,215,153,0
0,9600,CensusTract,2317,0.4,276,783,254,572,358,74,1097,1220,491,34888.0,1,5,2,3380,907,57,409,449,207,235,61,639,403,13
0,9700,CensusTract,1939,0.17,237,604,266,464,294,74,960,979,380,36705.0,2,3,1,2459,576,18,230,268,142,275,65,519,357,9
0,9800,CensusTract,1433,0.17,154,403,199,330,289,58,660,773,297,47762.0,4,3,2,2705,649,29,260,343,175,267,48,615,312,7
0,980000,CensusTract,0,0.79,0,0,0,0,0,0,0,0,0,0.0,7,0,5,1239,67,0,19,121,575,14,15,396,32,0
0,9900,CensusTract,1458,0.2,120,449,163,377,250,99,674,784,318,32913.0,0,10,2,2566,609,24,247,294,184,216,33,694,261,4
