,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,185500,CensusTract,1709,0.34,196,428,193,390,332,170,788,921,378,46709.0,7,9,8,3208,678,32,379,409,241,299,63,742,354,11
0,185600,CensusTract,1776,0.26,145,367,172,489,391,212,835,941,379,112132.0,6,15,0,3301,573,27,343,387,393,329,34,808,399,8
0,185700,CensusTract,2124,0.26,218,572,251,505,421,157,981,1143,477,53002.0,8,11,1,3585,904,30,384,357,251,340,78,822,411,8
0,185800,CensusTract,1606,0.17,160,364,191,430,357,104,738,868,383,55596.0,3,3,0,1958,501,15,239,263,116,155,23,389,256,1
0,185900,CensusTract,1213,0.19,120,320,140,295,245,93,549,664,290,77744.0,2,7,1,1760,326,14,248,248,154,89,28,406,244,3
0,18600,CensusTract,3000,0.18,337,758,304,980,476,145,1565,1435,661,78702.0,4,2,7,2173,452,22,293,349,170,111,62,448,264,2
0,186000,CensusTract,1451,0.22,92,259,111,325,385,279,675,776,242,199399.0,4,3,1,1982,322,6,179,296,277,110,38,489,260,5
0,186100,CensusTract,2275,0.19,304,568,324,542,402,135,1031,1244,516,74022.0,1,9,7,2945,737,23,343,399,183,199,52,591,411,7
0,186200,CensusTract,1422,0.21,129,290,152,321,371,159,708,714,296,71823.0,2,5,1,2150,405,12,211,275,244,150,36,525,290,2
0,186300,CensusTract,3268,0.48,38,55,876,1638,605,56,2556,712,149,555243.0,61,2,5,7843,749,10,260,881,2039,251,92,3077,478,6
0,186400,CensusTract,1643,0.3,4,8,1231,184,153,63,743,900,20,1339350.0,5,4,0,1111,70,0,49,118,258,40,12,486,78,0
