District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
20800,CensusTract,3009,0.34,0.069458292,0.48554337,14.7058857,5.88235605,8.82352965,198569,791
20900,CensusTract,2553,0.39,0.073638856,0.493928711,17.94871594,5.128204554,0,147573,788
21000,CensusTract,2189,0.5,0.072635907,0.498857926,6.000000842,0,0,142285,593
21100,CensusTract,1364,0.25,0.063049853,0.491202346,24.00000011,0,0,127387,493
21200,CensusTract,2097,0.75,0.081068193,0.497377206,11.99999862,1.333334112,0,149959,913
21300,CensusTract,1631,0.49,0.076640098,0.443286327,2.040817043,2.040817043,6.1224478,212570,842
21400,CensusTract,3288,0.5,0.117396594,0.482055961,12.00000317,0,0,234874,1684
21500,CensusTract,2824,0.5,0.063739377,0.485481586,12.00000061,0,0,160195,740
21600,CensusTract,4365,1.43,0.073310424,0.503550974,7.692308245,1.398600944,2.097901416,142196,2485
21700,CensusTract,6142,4.88,0.072614783,0.49951156,2.663933916,0.614753787,0.819672555,150851,2920
21800,CensusTract,2223,0.34,0.077822762,0.488978857,0,2.941179379,0,171325,592
185400,CensusTract,1639,0.28,0.132397804,0.46918853,14.28571717,35.71428414,21.42857283,31167,3496
185500,CensusTract,1709,0.34,0.112931539,0.461088356,20.58823755,26.47059042,23.52941147,46709,3208
185600,CensusTract,1776,0.26,0.096846847,0.470157658,23.07692049,57.69230806,0,112132,3301
185700,CensusTract,2124,0.26,0.118173258,0.461864407,30.76922797,42.30769458,3.846155538,53002,3585
185800,CensusTract,1606,0.17,0.118929016,0.459526775,17.64705865,17.64705865,0,55596,1958
185900,CensusTract,1213,0.19,0.115416323,0.452596867,10.52631824,36.84210425,5.263155926,77744,1760
186000,CensusTract,1451,0.22,0.076498966,0.465196416,18.18182145,13.63636609,4.545455364,199399,1982
186100,CensusTract,2275,0.19,0.142417582,0.453186813,5.263152632,47.36842158,36.84210434,74022,2945
186200,CensusTract,1422,0.21,0.106891702,0.497890295,9.523811143,23.80952109,4.761905571,71823,2150
186300,CensusTract,3268,0.48,0.268053856,0.782129743,127.0833356,4.166665958,10.4166683,555243,7843
186400,CensusTract,1643,0.3,0.749239197,0.452221546,16.66666867,13.33333384,0,1339350,1111
186500,CensusTract,1667,0.45,0.133173365,0.571685663,144.4444461,11.11111067,6.6666664,96878,5106
186600,CensusTract,2152,0.4,0.119888476,0.503717472,14.99999952,0,27.49999912,71532,2022
186800,CensusTract,1614,2.22,0.089219331,0.597273854,3.603603246,0,2.252251938,406457,3083
186900,CensusTract,2213,0.18,0.108901943,0.450067781,16.66666854,0,55.55555772,464347,665
187000,CensusTract,3288,0.14,0.220498783,0.498783455,135.7142902,14.28572589,28.57142829,506484,2446
187400,CensusTract,2341,0.68,0.205040581,0.537377189,126.4705868,0,0,433616,5267
