District,Type,Population,Area sqmi,18 to 24,Male,Liquor Licenses,Faith Orgs,Parks,Avg Residential Value,Total A Offenses
5800,CensusTract,3430,0.39,0.072303207,0.458017493,0.000874636,0.000874636,0.001166181,150262,2094
5900,CensusTract,3614,0.33,0.110957388,0.473436635,0.000830105,0.001936912,0.000276702,85740,4062
6000,CensusTract,2658,0.16,0.098194131,0.44469526,0.000752445,0.000752445,0,64278,3145
6100,CensusTract,2320,0.2,0.093103448,0.459913793,0.000431034,0.000431034,0,79494,3257
6200,CensusTract,2923,0.18,0.109818679,0.453301403,0.001710571,0.001368457,0.000342114,42887,4210
6300,CensusTract,2462,0.34,0.108042242,0.454102356,0.000812348,0.001218522,0.000406174,31158,4426
6400,CensusTract,2510,0.19,0.119920319,0.457370518,0.001195219,0.001992032,0.000398406,23518,3993
6500,CensusTract,2628,0.19,0.114916286,0.45129376,0.00304414,0.00304414,0,31243,3524
6600,CensusTract,3053,0.36,0.11333115,0.465771372,0.00196528,0.00294792,0.000327547,22972,4649
6700,CensusTract,1492,0.16,0.10924933,0.46849866,0.003351206,0.002680965,0,30069,2043
6800,CensusTract,2813,0.22,0.120511909,0.457874156,0.002132954,0.002132954,0,31016,3281
6900,CensusTract,2585,0.19,0.121470019,0.483172147,0.001547389,0.002321083,0.001160542,38585,3051
7000,CensusTract,3020,0.26,0.13410596,0.480794702,0.000993377,0.002649007,0.000331126,40916,4006
7100,CensusTract,1912,0.14,0.175209205,0.534518828,0.004707113,0.001046025,0.001046025,130796,2214
7200,CensusTract,2791,0.33,0.112862773,0.503403798,0.001433178,0.000358295,0.002149767,152624,2604
7300,CensusTract,2477,0.27,0.546628987,0.546225273,0.001211143,0,0.001614857,260210,1698
7400,CensusTract,4122,0.35,0.746239689,0.483988355,0.000242601,0.000727802,0,447983,611
7500,CensusTract,2706,0.27,0.341463415,0.510716925,0,0.002586844,0.000739098,393042,1548
7600,CensusTract,3275,0.22,0.343206107,0.481221374,0.002442748,0.001526718,0.000916031,503608,2039
7700,CensusTract,3807,0.27,0.439453638,0.551878119,0.00394011,0.001050696,0.00131337,343475,3231
7800,CensusTract,3446,0.25,0.685432385,0.571967499,0.003192107,0.000290192,0.001450958,307613,3546
7900,CensusTract,2224,0.21,0.357464029,0.53192446,0.006744604,0.00044964,0.002697842,170515,1939
8000,CensusTract,1951,0.13,0.201947719,0.517683239,0.006150692,0.001537673,0,132097,2803
8100,CensusTract,1331,0.11,0.099173554,0.485349361,0.00150263,0.002253944,0,50905,1536
8400,CensusTract,1315,0.18,0.12243346,0.467680608,0.000760456,0.004562738,0,24627,2112
8500,CensusTract,1309,0.15,0.106951872,0.449197861,0.001527884,0.007639419,0.000763942,31007,2608
8600,CensusTract,1500,0.12,0.119333333,0.456,0.002666667,0.004666667,0,26824,2327
8700,CensusTract,1410,0.13,0.087943262,0.432624113,0,0.005673759,0,25024,2422
8800,CensusTract,2121,0.19,0.131541726,0.471004243,0.001885903,0.007543612,0.000471476,27466,3965
8900,CensusTract,1462,0.23,0.121067031,0.511627907,0.002735978,0.000683995,0.000683995,27731,2690
9000,CensusTract,2544,0.19,0.129716981,0.436713836,0.001572327,0.004323899,0.000393082,35304,5024
9100,CensusTract,2425,0.2,0.124123711,0.474639175,0.001649485,0.002474227,0,63560,4022
9200,CensusTract,1901,0.16,0.13256181,0.479747501,0.001052078,0.001578117,0,101724,2388
9300,CensusTract,2535,0.22,0.095463511,0.48086785,0.001183432,0.000788955,0.000394477,123742,1973
9400,CensusTract,2423,0.23,0.056954189,0.469665704,0.002063558,0.001650846,0,168497,895
9500,CensusTract,2121,0.2,0.073550212,0.483734088,0.001885903,0.000471476,0,178010,997
9600,CensusTract,2317,0.4,0.109624514,0.473457057,0.000431593,0.002157963,0.000863185,34888,3380
9700,CensusTract,1939,0.17,0.137184116,0.495100567,0.00103146,0.001547189,0.00051573,36705,2459
9800,CensusTract,1433,0.17,0.138869505,0.460572226,0.002791347,0.00209351,0.001395673,47762,2705
9900,CensusTract,1458,0.2,0.111796982,0.462277092,0,0.006858711,0.001371742,32913,2566
10600,CensusTract,1192,0.11,0.116610738,0.505872483,0.002516779,0.002516779,0,119993,1357
10700,CensusTract,2208,0.24,0.166666667,0.539855072,0.002717391,0,0.000905797,213173,2675
10800,CensusTract,2469,0.13,0.30255164,0.534224382,0.009720535,0.000810045,0.001620089,328818,2679
11000,CensusTract,3428,0.11,0.178529755,0.505834306,0.005834306,0.000583431,0,388282,2093
11100,CensusTract,1481,0.1,0.241728562,0.558406482,0.004726536,0.006076975,0.000675219,492419,1685
