District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
3900,CensusTract,-0.197117111,-0.370960651,-0.453488544,-1.072541452,-0.429765458,-0.096821312,-0.276761921,-0.318838739,0.273978326
4000,CensusTract,-0.167896452,-0.389701471,-0.230083408,-2.187571055,-0.532591393,-0.067291442,0.148427788,-0.372264142,0.294275815
4100,CensusTract,-0.256471574,0.191263976,-0.372824139,-0.960572209,-0.643985992,-0.149552809,-0.122096174,-0.375760934,0.557391406
4200,CensusTract,0.183664598,-0.35221983,-0.253735992,-0.363627501,-0.025126443,0.823705068,-0.291342645,-0.3709005,1.533174368
4300,CensusTract,2.28572573,0.584821214,-0.292956293,-1.078026682,-0.535484739,-0.170325658,-0.138713522,-0.352131638,3.575703113
4400,CensusTract,0.444824234,0.865933527,0.114772868,-0.60189427,-0.341282957,-0.695975201,1.33224782,-0.175563313,2.636756333
4500,CensusTract,-0.335915239,-0.35221983,-0.218745864,-0.64437754,-0.43769935,0.586738052,-0.291343269,-0.448910822,0.616028594
4600,CensusTract,0.126136426,-0.370960651,-0.296872362,-0.665576515,0.427116927,2.610071823,-0.27676136,-0.437532825,0.845315038
4700,CensusTract,1.073068396,0.172523155,-0.371212675,-0.694281844,-0.441450227,-0.36974763,-0.484346071,-0.455786296,1.837636695
4800,CensusTract,1.055718629,-0.127329979,-0.198368318,-0.751987544,-0.358358582,1.625747189,-0.14553063,-0.368298486,2.512716126
4900,CensusTract,1.515944003,-0.1460708,-0.291384498,-0.897071482,-0.424127983,-0.49832163,-0.670455622,-0.235126892,1.761709053
5000,CensusTract,1.699486266,-0.033625875,-0.414910356,-0.933451114,-0.517401111,0.03740487,-0.670455622,-0.226934305,1.179847718
5100,CensusTract,0.506918134,0.884674348,-0.308715486,-1.068722591,-0.643985992,-0.491080087,-0.3402606,-0.180717234,0.853584385
5200,CensusTract,-1.085607763,-0.370960651,-0.541482383,-0.03710026,-0.53687574,-0.096821007,-0.276761976,-0.188040097,-1.029571487
5300,CensusTract,-0.845450475,-0.370960651,-0.573922695,-0.935879717,-0.215544838,-0.835064557,-0.670455622,-0.169682832,-1.029571487
5400,CensusTract,0.770817208,0.116300692,-0.646198447,-0.554916015,-0.429765349,-0.342902143,-0.47360849,-0.182771644,-0.6093383
5500,CensusTract,0.431127051,0.07881905,-0.71047936,-0.185554651,-0.588288703,-0.707102508,-0.261013859,-0.093515753,-1.193454912
5600,CensusTract,-0.591596003,0.041337409,-0.329189455,-1.148879432,-0.469931766,-0.701770605,-0.030703203,0.002604874,-1.555802669
5700,CensusTract,-0.433621817,-0.277256546,-0.646967982,-0.780249976,-0.643985992,-0.422283209,-0.670455622,-0.06274255,-1.173157424
5800,CensusTract,0.533399356,-0.127329979,-0.552679597,-0.634728826,-0.429765275,-0.342901973,0.379394843,-0.032592112,-0.398094069
5900,CensusTract,0.701418143,-0.239774904,-0.225734947,-0.253620211,-0.390816223,0.522110377,-0.360272276,-0.263523566,1.081367311
6000,CensusTract,-0.171549034,-0.558368859,-0.33368908,-0.964009001,-0.295877706,-0.035301229,-0.670455622,-0.340338464,0.392004463
6100,CensusTract,-0.480192241,-0.483405576,-0.376747076,-0.587858756,-0.504742751,-0.515159394,-0.670455622,-0.285878698,0.476201452
6200,CensusTract,0.070434545,-0.520887218,-0.235366372,-0.751294491,0.129588289,0.586737694,-0.10178718,-0.416899245,1.192627618
6300,CensusTract,-0.350525569,-0.221034084,-0.250391824,-0.731497663,-0.480170167,-0.270525182,-0.369395508,-0.458878648,1.355007525
6400,CensusTract,-0.306694581,-0.502146397,-0.149924718,-0.650719842,-0.204270046,0.848648822,-0.131717186,-0.486223063,1.029495952
6500,CensusTract,-0.198943402,-0.502146397,-0.192249811,-0.80091658,0.528589975,1.858876651,-0.670455622,-0.458574424,0.67692106
6600,CensusTract,0.189143471,-0.183552442,-0.205657203,-0.443079376,-0.179841346,0.764463008,-0.386120898,-0.488177258,1.522649745
6700,CensusTract,-1.236276784,-0.558368859,-0.240182037,-0.375670116,0.226285129,0.764462963,-0.670455622,-0.462776301,-0.436433769
6800,CensusTract,-0.030011469,-0.445923934,-0.144920934,-0.638271628,0.115523398,0.909874536,-0.670455622,-0.459386882,0.494243664
6900,CensusTract,-0.238208662,-0.502146397,-0.136817051,-0.012991549,-0.05769792,1.185391219,0.945761784,-0.432296585,0.321339133
7000,CensusTract,0.159009667,-0.370960651,-0.029939782,-0.071753883,-0.322655231,1.133585087,-0.276761575,-0.423953675,1.039268816
7100,CensusTract,-0.852755639,-0.595850501,0.317719531,1.256123329,1.146286272,0.078951128,0.791835648,-0.102263103,-0.307883009
7200,CensusTract,-0.050100672,-0.239774904,-0.209618827,0.48706588,-0.306426258,-0.641182162,1.19064245,-0.024138249,-0.014697065
7300,CensusTract,-0.336828385,-0.35221983,3.459260942,1.545466734,-0.334556095,-0.835064557,0.845995035,0.360924077,-0.695790566
7400,CensusTract,1.165296099,-0.202293263,5.147607435,0.00718233,-0.564418231,-0.28665512,-0.670455622,1.032984644,-1.512952416
7500,CensusTract,-0.127718046,-0.35221983,1.723930268,0.667821444,-0.643985992,0.823704782,0.087769249,0.836344661,-0.808554391
7600,CensusTract,0.39186179,-0.445923934,1.738670299,-0.061208006,0.368693224,0.619051872,0.725368712,1.232072741,-0.439440805
7700,CensusTract,0.877655241,-0.35221983,2.552750806,1.685185812,0.903162742,0.112803577,1.22510717,0.658938824,0.456655722
7800,CensusTract,0.548009685,-0.389701471,4.633287323,2.181726787,0.581355986,-0.579139722,1.37675288,0.530584715,0.693459754
7900,CensusTract,-0.567854217,-0.464664755,1.859266601,1.191999398,1.345205307,-0.530392827,2.254127508,0.03989564,-0.514616688
8000,CensusTract,-0.817142962,-0.614591322,0.54387913,0.840004973,1.926661366,0.641422477,-0.670455622,-0.097606678,0.134902942
8100,CensusTract,-1.383293223,-0.652072964,-0.325404928,0.040821757,-0.137646231,0.90987434,-0.670455622,-0.388201927,-0.817575497
8400,CensusTract,-1.397903553,-0.520887218,-0.128668078,-0.395889572,-0.489271162,1.297639087,-0.670455622,-0.482253828,-0.38456241
8500,CensusTract,-1.403382426,-0.57710968,-0.259614388,-0.852720057,-0.272670237,3.430342172,0.011947092,-0.459419094,-0.01169003
8600,CensusTract,-1.22897162,-0.633332143,-0.154889561,-0.684594374,0.28430344,2.897166795,-0.670455622,-0.474390519,-0.222934261
8700,CensusTract,-1.311154722,-0.614591322,-0.420392942,-1.262366596,-0.643985992,3.102234264,-0.670455622,-0.48083292,-0.151517172
8800,CensusTract,-0.661908213,-0.502146397,-0.051628577,-0.313740647,-0.057697964,4.552818266,-0.131716358,-0.472092729,1.008446704
8900,CensusTract,-1.263671152,-0.427183113,-0.140225603,0.690337813,-0.159661151,-0.556885651,-0.225410101,-0.471144265,0.049954194
9000,CensusTract,-0.275647631,-0.502146397,-0.067062628,-1.161282588,-0.057698019,2.869104322,-0.131716352,-0.444039651,1.804559307
9100,CensusTract,-0.384311955,-0.483405576,-0.114371604,-0.223897522,-0.087012246,1.084368725,-0.670455622,-0.342908266,1.051296958
9200,CensusTract,-0.862800241,-0.558368859,-0.043000506,-0.097637121,-0.29587745,0.364581316,-0.670455622,-0.206315042,-0.177076973
9300,CensusTract,-0.283865941,-0.445923934,-0.3567852,-0.069945914,-0.264231257,-0.253417885,-0.205181455,-0.127510158,-0.489056887
9400,CensusTract,-0.386138246,-0.427183113,-0.682504603,-0.346824767,-0.038579791,0.277650261,-0.670455622,0.032672993,-1.299452908
9500,CensusTract,-0.661908213,-0.483405576,-0.542132184,0.000897716,-0.087012366,-0.515158845,-0.670455622,0.066721084,-1.222773507
9600,CensusTract,-0.482931678,-0.108589158,-0.237008657,-0.253115448,-0.574364225,-0.035300709,-0.158653717,-0.445528561,0.568667788
9700,CensusTract,-0.828100709,-0.539628038,-0.003904135,0.281838321,-0.316354315,0.294013555,-0.068335344,-0.439025315,-0.123702096
9800,CensusTract,-1.290152374,-0.539628038,0.010351216,-0.571584537,0.011277096,0.29401369,0.533784013,-0.399451075,0.061230577
9900,CensusTract,-1.267323734,-0.483405576,-0.218633497,-0.529446063,-0.643985992,2.363990863,0.353148285,-0.452597307,-0.043263901
10600,CensusTract,-1.510220459,-0.652072964,-0.177917804,0.548083356,0.115523592,0.909874982,-0.670455622,-0.140928248,-0.952140328
10700,CensusTract,-0.582464547,-0.408442292,0.245465068,1.388017085,0.052230917,-0.835064557,0.182547609,0.192573393,0.038677812
10800,CensusTract,-0.34413355,-0.614591322,1.394806838,1.248845627,4.497308881,0.149260668,2.479094918,0.606479782,0.041684847
11000,CensusTract,0.531573065,-0.652072964,0.345805394,0.54713975,4.419410524,0.328229103,-0.670455622,0.819308088,-0.398845828
11100,CensusTract,-1.246321386,-0.670813785,0.880353307,1.846544686,1.305421521,4.923234815,0.353147693,1.192026058,-0.705563431
11200,CensusTract,-0.572419945,-0.57710968,0.390945536,1.600336897,3.997460513,-0.408524285,1.376751842,0.271621657,-0.601068953
11300,CensusTract,-0.928546723,-0.520887218,1.772318247,2.058366062,2.140881841,-0.124163211,-0.670455622,1.40579925,0.07852103
11400,CensusTract,-1.560443466,-0.464664755,0.397965526,0.696404351,0.019077748,-0.835064557,-0.670455622,0.616912893,-0.831107156
12200,CensusTract,-0.263776738,-0.502146397,-0.039562148,-0.075543554,-0.350841848,-0.161578905,-0.670455622,-0.362392951,0.292020538
12300,CensusTract,-1.57414065,-0.295997367,-0.184229394,0.182645132,-0.272670306,-0.621794113,1.035551036,-0.265502815,-0.400349345
12400,CensusTract,-0.231816643,0.097559871,-0.273382623,-0.150136247,-0.316354443,-0.709611564,0.333077523,-0.126987607,-0.81532022
12500,CensusTract,-0.75961479,0.434894647,-0.416687668,0.280211722,-0.361463182,-0.55688584,0.813028335,0.133611105,-1.296445872
12600,CensusTract,-0.618077225,-0.295997367,-0.516903482,0.078167116,0.377132356,-0.195253451,0.011947106,-0.108050527,-1.292687078
12700,CensusTract,-1.512959896,-0.127329979,-0.139860666,0.413329444,-0.572579113,-0.506956288,0.641857042,-0.072441943,-1.41372025
12800,CensusTract,0.102394641,1.109564199,0.845945526,-0.215396943,-0.590940851,-0.469458168,-0.08553893,0.013603485,-1.130307171
12900,CensusTract,0.087784311,-0.108589158,-0.442613901,0.369330453,-0.36549926,-0.195253658,-0.670455622,-0.148036364,-0.979955404
13000,CensusTract,-0.955027945,-0.370960651,-0.398297647,0.004723869,-0.429765402,-0.835064557,0.116931985,-0.134682698,-1.337792608
13300,CensusTract,-1.625276803,-0.427183113,-0.188288593,0.704357433,-0.401823511,-0.835064557,3.334951427,-0.3206104,-1.110761441
13400,CensusTract,-0.466495058,-0.483405576,0.114456599,-0.057523356,-0.50474244,-0.195253551,-0.158653058,-0.321558864,0.187526061
13500,CensusTract,-0.853668785,-0.670813785,0.238825976,1.806258497,0.469961214,1.724179676,-0.670455622,0.474292444,0.219099932
13600,CensusTract,-0.325870638,-0.57710968,-0.107384558,-0.346804277,-0.272670061,-0.408523626,-0.670455622,-0.008397316,0.295027573
13700,CensusTract,-1.157746264,-0.633332143,-0.076139355,0.841506283,0.284303234,-0.835064557,-0.670455622,-0.116776401,0.273978326
14100,CensusTract,-1.182401195,-0.370960651,0.270005289,-2.377880001,-0.322655071,-0.588983511,-0.670455622,12.25475295,-0.01169003
14300,CensusTract,-0.50119459,-0.670813785,0.606942181,1.301427232,1.583908587,0.444557655,0.353147295,2.136754103,-0.922821733
14400,CensusTract,-0.213553731,-0.427183113,2.035114041,2.948403732,7.105211751,-0.278706971,0.219635056,1.112916949,0.997170322
14600,CensusTract,1.004582477,-0.57710968,5.216923892,0.384144465,-0.087012078,0.871098656,-0.670455622,1.683488221,-0.436433769
